#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,,North America,,"108,116,472","+8,861","1,496,823",+13,"101,112,538","+26,031","5,507,111","9,504",,,,,,North America,,,,,,,
,,Asia,,"164,591,582","+134,252","1,443,365",+47,"158,285,366","+58,216","4,862,851","11,151",,,,,,Asia,,,,,,,
,,South America,,"61,200,615","+1,440","1,310,886",+3,"58,093,628","+7,261","1,796,101","10,461",,,,,,South America,,,,,,,
,,Europe,,"210,829,262",,"1,865,015",,"199,745,369","+146,367","9,218,878","6,754",,,,,,Europe,,,,,,,
,,Oceania,,"10,656,295","+47,080","15,233",+51,"10,128,400","+8,675","512,662",184,,,,,,Australia/Oceania,,,,,,,
,,Africa,,"12,443,974",,"256,424",,"11,588,336",,"599,214","1,004",,,,,,Africa,,,,,,,
,,,,721,,15,,706,,0,0,,,,,,,,,,,,,
,World,"567,838,921","+191,633","6,387,761",+114,"538,954,343","+246,550","22,496,817","39,058","72,848",819.5,,,,All,,,,,,,
27,Thailand,"4,560,843","+1,814","31,016 ",+17,"4,507,095","+2,361","22,732","1,496","65,009",442,"17,270,775","246,174","70,156,707 ",Asia,"152,2624",26,0.2,324
28,Israel,"4,498,036",,"11,101 ",,"4,415,338",,"71,597",310,"482,311","1,190","41,373,364","4,436,346","9,326,000 ",Asia,28400,,,"7,677"
29,Belgium,"4,349,050",,"32,051 ",,"4,158,264","+2,375","158,735",74,"371,957","2,741","34,784,155","2,974,947","11,692,361 ",Europe,33650,,,"13,576"
30,Taiwan,"4,264,788",,"8,176 ",,"3,633,734",,"622,878",,"178,409",342,"21,967,220","918,955","23,904,571 ",Asia,"62,9241",,,"26,057"
31,Chile,"4,137,152",,"59,086 ",,"3,811,661",,"266,405",186,"212,702","3,038","41,381,637","2,127,539","19,450,473 ",South America,53290,,,"13,697"
32,Canada,"4,007,463",,"43,555 ",,"3,576,675",,"387,233",195,"104,317","1,134","62,586,673","1,629,171","38,416,267 ",North America,108821,,,"10,080"
33,South Africa,"3,999,751",,"101,918 ",,"3,890,509",,"7,324",192,"65,751","1,675","25,867,414","425,227","60,832,039 ",Africa,155972,,,120
34,Czechia,"3,952,388",,"40,352 ",,"3,898,753",,"13,283",12,"367,683","3,754","55,628,436","5,175,005","10,749,445 ",Europe,32660,,,"1,236"
35,Switzerland,"3,843,522",,"14,021 ",,"3,682,853","+3,527","146,648",54,"437,582","1,596","21,598,881","2,459,015","8,783,551 ",Europe,26260,,,"16,696"
36,Greece,"3,843,142",,"30,476 ",,"3,614,441",,"198,225",103,"372,419","2,953","86,634,526","8,395,309","10,319,397 ",Europe,33390,,,"19,209"
37,Peru,"3,749,635",,"213,825 ",,"3,426,236",,"109,574",182,"110,584","6,306","32,314,304","953,012","33,907,546 ",South America,91591,,,"3,232"
38,Philippines,"3,733,101",,"60,641 ",,"3,652,587",,"19,873",522,"33,168",539,"31,151,953","276,777","112,552,332 ",Asia,"301,8564",,,177
39,Denmark,"3,039,859",,"6,551 ",,"3,009,498",,"23,810",14,"521,082","1,123","127,826,356","21,911,532","5,833,748 ",Europe,28910,,,"4,081"
40,Romania,"2,963,934",,"65,813 ",,"2,853,648",,"44,473",108,"156,190","3,468","23,737,992","1,250,920","18,976,433 ",Europe,62881,,,"2,344"
41,Sweden,"2,528,166",,"19,170 ",,"2,494,449",+357,"14,547",16,"247,192","1,874","18,709,369","1,829,312","10,227,542 ",Europe,45341,,,"1,422"
42,Iraq,"2,405,186",,"25,270 ",,"2,345,619",,"34,297",25,"57,183",601,"18,936,695","450,218","42,061,191 ",Asia,"171,6642",,,815
43,Serbia,"2,056,691",,"16,169 ",,"2,009,887",,"30,635",11,"237,337","1,866","10,041,491","1,158,761","8,665,712 ",Europe,45361,,,"3,535"
44,Bangladesh,"1,996,340",,"29,234 ",,"1,924,960",,"42,146","1,228","11,881",174,"14,499,903","86,293","168,031,850 ",Asia,"845,74812",,,251
45,Hungary,"1,940,824",,"46,696 ",,"1,878,221",,"15,907",16,"201,950","4,859","11,394,556","1,185,648","9,610,402 ",Europe,52061,,,"1,655"
