#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
33,South Africa,"4,000,631",,"101,922 ",,"3,892,034",,"6,675",192,"65,763","1,675","25,887,017","425,535","60,834,082 ",Africa,155972,,,110
34,Czechia,"3,952,650",,"40,355 ",,"3,900,603",,"11,692",14,"367,706","3,754","55,630,212","5,175,145","10,749,499 ",Europe,32660,,,"1,088"
35,Switzerland,"3,843,522",,"14,021 ",,"3,686,765","+3,912","142,736",54,"437,573","1,596","21,598,881","2,458,967","8,783,723 ",Europe,26260,,,"16,250"
36,Greece,"3,843,142",,"30,476 ",,"3,614,441",,"198,225",103,"372,424","2,953","86,634,526","8,395,422","10,319,258 ",Europe,33390,,,"19,209"
37,Peru,"3,761,445",,"213,840 ",,"3,430,359",,"117,246",182,"110,928","6,306","32,342,335","953,804","33,908,802 ",South America,91591,,,"3,458"
38,Philippines,"3,735,383",,"60,641 ",,"3,654,218",,"20,524",522,"33,187",539,"31,170,885","276,936","112,556,318 ",Asia,"301,8564",,,182
39,Denmark,"3,044,171",,"6,563 ",,"3,012,701",,"24,907",14,"521,816","1,125","127,854,498","21,916,149","5,833,803 ",Europe,28890,,,"4,269"
40,Romania,"2,967,222",,"65,815 ",,"2,853,646",,"47,761",115,"156,366","3,468","23,749,514","1,251,550","18,976,085 ",Europe,62881,,,"2,517"
41,Sweden,"2,528,166",,"19,170 ",,"2,494,666",+217,"14,330",16,"247,188","1,874","18,709,369","1,829,282","10,227,713 ",Europe,45341,,,"1,401"
42,Iraq,"2,409,641",,"25,273 ",,"2,350,301",,"34,067",25,"57,286",601,"18,949,265","450,490","42,063,663 ",Asia,"171,6642",,,810
43,Serbia,"2,059,982",,"16,173 ",,"2,013,234",,"30,575",13,"237,719","1,866","10,053,386","1,160,147","8,665,617 ",Europe,45361,,,"3,528"
44,Bangladesh,"1,997,412",,"29,241 ",,"1,926,957",,"41,214","1,228","11,887",174,"14,510,877","86,356","168,036,329 ",Asia,"845,74712",,,245
45,Hungary,"1,940,824",,"46,696 ",,"1,878,221",,"15,907",16,"201,952","4,859","11,394,556","1,185,656","9,610,335 ",Europe,52061,,,"1,655"
46,Slovakia,"1,806,246",,"20,172 ",,"1,777,292",,"8,782",26,"330,510","3,691","7,201,031","1,317,655","5,465,035 ",Europe,32711,,,"1,607"
47,Jordan,"1,700,526",,"14,068 ",,"1,685,354",,"1,104",124,"163,359","1,351","16,894,012","1,622,902","10,409,754 ",Asia,67401,,,106
48,Georgia,"1,667,453",,"16,847 ",,"1,637,293",,"13,313",,"419,638","4,240","16,920,079","4,258,174","3,973,553 ",Asia,22360,,,"3,350"
49,Ireland,"1,628,745",,"7,537 ",,"1,573,775","+1,471","47,433",39,"322,505","1,492","12,480,436","2,471,227","5,050,300 ",Europe,36700,,,"9,392"
50,Singapore,"1,602,273",,"1,457 ",,"1,505,241",,"95,575",16,"269,553",245,"24,107,231","4,055,592","5,944,195 ",Asia,"44,0800",,,"16,079"
51,Pakistan,"1,546,744",,"30,445 ",,"1,505,635",,"10,664",169,"6,735",133,"29,297,676","127,580","229,641,780 ",Asia,"1487,5438",,,46
52,New Zealand,"1,519,490","+10,762","1,803 ",+19,"1,448,721","+11,817","68,966",,"303,770",360,"7,342,253","1,467,834","5,002,100 ",Australia/Oceania,"32,7741","2,151",4,"13,787"
53,Norway,"1,453,071",,"3,504 ",,"1,444,612",,"4,955",20,"263,825",636,"11,002,430","1,997,641","5,507,710 ",Europe,"41,5721",,,900
54,Kazakhstan,"1,318,044",,"13,664 ",,"1,295,042",,"9,338",24,"68,524",710,"11,575,012","601,772","19,234,864 ",Asia,"151,4082",,,485
55,Hong Kong,"1,297,772",,"9,440 ",,"1,209,735",,"78,597",4,"170,288","1,239","50,415,048","6,615,238","7,621,048 ",Asia,68070,,,"10,313"
56,Morocco,"1,251,766",,"16,189 ",,"1,222,236",,"13,341",293,"33,113",428,"12,118,431","320,568","37,803,013 ",Africa,"302,3353",,,353
